cell_id,mouse_id,condition,number_of_trials,pre_stim_integral_mean,post_stim_integral_mean,p-value_on_integrals,direction_of_effect_on_integrals,pre_stim_mean_all,post_stim_mean_all,p-value_on_means,direction_of_effect_on_means,integral_change_magnitude,mean_change_magnitude
C173,M348126,cr,64,2.4650634486452287,4.72662406739726,0.49675886448865036,1.0,0.08428857779342627,0.16431222214642355,0.4840464399428911,1.0,2.2615606187520316,0.08002364435299728
C000,M351181,hit,48,-1.05764454399789,2.6016114664303025,0.17005073316700786,1.0,-0.03629546517481512,0.08449840756735537,0.18411412190849524,1.0,3.6592560104281926,0.12079387274217049
C000,M351181,miss,84,-1.05764454399789,2.17709657902619,0.05083020805730758,1.0,-0.03629546517481512,0.07619469080377551,0.0529656827148719,1.0,3.23474112302408,0.11249015597859063
C000,M351181,fa,167,-1.05764454399789,2.1305969930978548,0.1465352776828345,1.0,-0.03629546517481512,0.07210917252714837,0.15215062985091946,1.0,3.188241537095745,0.10840463770196349
C000,M351181,cr,46,-1.05764454399789,0.15620656683068632,0.4565048792707014,1.0,-0.03629546517481512,0.004051822528658885,0.4794114761403876,1.0,1.2138511108285763,0.040347287703474004
C001,M351181,hit,48,-2.0615011337557045,3.3033184793869133,1.2236498521604003e-06,1.0,-0.07038833375211896,0.10692965463448702,2.422989803996087e-06,1.0,5.364819613142618,0.17731798838660598
C001,M351181,miss,84,-2.0615011337557045,-1.0514149453330357,0.25654444474396904,1.0,-0.07038833375211896,-0.03747364393051477,0.27754446072129324,1.0,1.0100861884226688,0.03291468982160419
C001,M351181,fa,167,-2.0615011337557045,0.07668778422103867,0.011760952176201522,1.0,-0.07038833375211896,0.0012308163039119048,0.013319528746256826,1.0,2.138188917976743,0.07161915005603087
C001,M351181,cr,46,-2.0615011337557045,-2.141341620075327,0.9264004561622367,-1.0,-0.07038833375211896,-0.07435821542543229,0.8940040791762625,-1.0,-0.07984048631962226,-0.00396988167331333
C002,M351181,hit,48,-1.1500942972895298,5.64774910599014,0.06505181315879491,1.0,-0.03978751922646919,0.18734162896500114,0.06937232968598646,1.0,6.79784340327967,0.22712914819147034
C002,M351181,miss,84,-1.1500942972895298,-1.501464054647307,0.8746503508353932,-1.0,-0.03978751922646919,-0.052611100663858545,0.86584314861182,-1.0,-0.3513697573577772,-0.012823581437389354
C002,M351181,fa,167,-1.1500942972895298,-1.0600709440187668,0.9575999864448869,1.0,-0.03978751922646919,-0.036404010817875504,0.9534181912784778,1.0,0.09002335327076305,0.003383508408593687
C002,M351181,cr,46,-1.1500942972895298,-3.2278923740187433,0.47775619039492434,-1.0,-0.03978751922646919,-0.11163124380316844,0.47163182728586406,-1.0,-2.0777980767292137,-0.07184372457669924
C003,M351181,hit,48,2.1609351646447013,-5.848549683222433,0.07581214635128042,-1.0,0.07466479541661458,-0.2012511458927765,0.07621392940917529,-1.0,-8.009484847867133,-0.2759159413093911
C003,M351181,miss,84,2.1609351646447013,4.937645976075586,0.4890701179949277,1.0,0.07466479541661458,0.16977213993359594,0.4913082872404566,1.0,2.776710811430885,0.09510734451698136
C003,M351181,fa,167,2.1609351646447013,-2.9003935912294714,0.036755424180525104,-1.0,0.07466479541661458,-0.09962821275005743,0.0370712949643871,-1.0,-5.061328755874173,-0.174293008166672
C003,M351181,cr,46,2.1609351646447013,6.648960861437547,0.3760209996241374,1.0,0.07466479541661458,0.22930000758981367,0.3767586501657523,1.0,4.488025696792846,0.1546352121731991
C004,M351181,hit,48,-2.371384962105163,1.427840171449598,0.004904259236231579,1.0,-0.08066533903546488,0.04822742912204473,0.005461210975410395,1.0,3.799225133554761,0.1288927681575096
C004,M351181,miss,84,-2.371384962105163,-2.36777633541236,0.997243245103033,1.0,-0.08066533903546488,-0.08043319503036928,0.9948284876112595,1.0,0.0036086266928028188,0.00023214400509560806
C004,M351181,fa,167,-2.371384962105163,-1.0392400040656031,0.08788309285551395,1.0,-0.08066533903546488,-0.03609581486168141,0.09582240994974711,1.0,1.33214495803956,0.04456952417378347
C004,M351181,cr,46,-2.371384962105163,1.24635889992853,0.006470740177052289,1.0,-0.08066533903546488,0.0446507528898551,0.0059322677513647375,1.0,3.6177438620336932,0.12531609192531998
C005,M351181,hit,48,-1.077980963851436,15.352147607739902,0.0026580006556860395,1.0,-0.037397202319656354,0.5146695537668521,0.0028287223603778978,1.0,16.430128571591336,0.5520667560865085
C005,M351181,miss,84,-1.077980963851436,-0.1697999411053676,0.719539903717267,1.0,-0.037397202319656354,-0.007858720483318815,0.7310050845047424,1.0,0.9081810227460683,0.02953848183633754
C005,M351181,fa,167,-1.077980963851436,-0.9202820942076322,0.9271272224937318,1.0,-0.037397202319656354,-0.03237117295675141,0.9317997733474642,1.0,0.15769886964380375,0.0050260293629049435
C005,M351181,cr,46,-1.077980963851436,-2.564857763120236,0.642654863801656,-1.0,-0.037397202319656354,-0.08810528190446304,0.6418083961688128,-1.0,-1.4868767992688,-0.050708079584806685
C006,M351181,hit,48,-0.3424089374423671,2.715391331386996,0.4573064313552929,1.0,-0.011237447624850922,0.08647134857326143,0.4902316674098922,1.0,3.057800268829363,0.09770879619811235
C006,M351181,miss,84,-0.3424089374423671,3.0467918585965803,0.3627680909668076,1.0,-0.011237447624850922,0.10327929491111904,0.37172408283783354,1.0,3.3892007960389474,0.11451674253596995
C006,M351181,fa,167,-0.3424089374423671,-1.0109174621857613,0.7771055115045588,-1.0,-0.011237447624850922,-0.034033717632445164,0.7799072793340758,-1.0,-0.6685085247433942,-0.02279627000759424
C006,M351181,cr,46,-0.3424089374423671,1.2970347050247617,0.7115903123526102,1.0,-0.011237447624850922,0.04253880582374042,0.7243769032665144,1.0,1.6394436424671288,0.05377625344859134
C007,M351181,hit,48,-2.042661517929375,-2.104267303104417,0.9849922174381861,-1.0,-0.06936306342306284,-0.07048172618859229,0.9920950617937577,-1.0,-0.061605785175042005,-0.0011186627655294518
C007,M351181,miss,84,-2.042661517929375,-3.5948267012147674,0.5377940256493983,-1.0,-0.06936306342306284,-0.1234918955011273,0.5332623834112535,-1.0,-1.5521651832853927,-0.05412883207806446
C007,M351181,fa,167,-2.042661517929375,-0.5185260486361543,0.46851668802985813,1.0,-0.06936306342306284,-0.01816336473864035,0.48025305939920593,1.0,1.5241354692932205,0.051199698684422486
