cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C075,16.0963,17.6724,0.08567280000000001,284.46,175.338,0.2,0.770175,0.975,2.30113,1.0,239.0,122.0,65.5,10.0,239.0,122.0,65.5,10.0,False,6.349464633317075
C076,7.486280000000001,7.400710000000001,0.026007799999999998,55.4038,44.7096,0.1,0.415862,0.55,0.975735,1.0,111.0,50.0,70.0,14.3178,111.0,50.0,70.0,14.3178,False,8.092695856585602
C077,29.1375,7.17024,0.09791169999999999,208.923,150.45600000000002,0.2,0.502455,0.9,0.7411979999999999,1.0,239.0,24.0,64.0,11.7047,239.0,24.0,64.0,11.7047,False,6.1231930272682344
C078,11.5752,14.1227,0.0566052,163.47299999999998,81.5828,0.2,0.655898,0.9,1.53691,1.0,121.0,127.0,62.0,10.6301,121.0,127.0,62.0,10.6301,False,5.808521960783397
C079,20.4591,11.9144,0.125449,243.75799999999998,195.833,0.25,1.5343,1.2,1.34287,1.0,216.0,148.0,65.5,12.53,216.0,148.0,65.5,12.53,False,6.086830334546482
C080,11.0626,9.94241,0.11932999999999999,109.98899999999999,82.0598,0.15,0.252932,0.625,1.1248,1.0,246.0,129.0,54.0,11.0,246.0,129.0,54.0,11.0,False,6.521128198607462
C081,11.7195,9.28298,0.09026239999999999,108.792,76.8726,0.2,0.641899,1.2,1.11635,1.0,224.0,104.0,59.5,11.0454,224.0,104.0,59.5,11.0454,False,6.02360868361564
C082,8.52897,7.197019999999999,0.036716900000000004,61.3832,40.6411,0.15,0.458258,0.65,1.30771,1.0,243.0,168.0,65.0,10.198,243.0,168.0,65.0,10.198,False,8.114769493223477
C083,11.9184,10.5217,0.0810831,125.402,103.708,0.2,0.33981100000000003,0.85,1.0298399999999999,1.0,214.0,155.0,54.5,11.0454,214.0,155.0,54.5,11.0454,True,
C084,10.6697,14.5251,0.0627247,154.97799999999998,70.778,0.15,0.381429,0.75,0.65472,1.0,165.0,144.0,62.0,10.2956,165.0,144.0,62.0,10.2956,False,6.5559025364452985
C086,10.5578,7.5625,0.104031,79.8436,63.869,0.175,0.11064700000000001,0.85,0.803462,1.0,259.0,75.0,66.0,11.1803,259.0,75.0,66.0,11.1803,False,6.313925600030232
C088,14.3658,8.76629,0.03365719999999999,125.935,85.6293,0.15,0.126581,0.65,0.49278900000000003,1.0,105.0,165.0,58.5,11.6619,105.0,165.0,58.5,11.6619,False,8.701284386758573
C089,10.2603,15.2758,0.0611948,156.734,71.5119,0.15,0.0876784,0.725,0.587793,1.0,187.0,154.0,61.0,11.0454,187.0,154.0,61.0,11.0454,False,6.482435105315184
C090,9.0838,7.77722,0.0566052,70.6467,40.7882,0.15,0.087765,0.5,0.75126,1.0,256.0,108.0,67.5,10.4403,256.0,108.0,67.5,10.4403,False,6.478940915799147
C091,16.0442,8.559619999999999,0.08567280000000001,137.332,62.5246,0.2,0.508455,1.025,0.895574,1.0,107.0,10.0,61.5,11.7047,107.0,10.0,61.5,11.7047,False,5.670176245263842
